Time,Count,Temp,Throttle,Heater Pwm,Pwm Freq,
12/12/2019 13:25:03,0,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:25:13,1,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:25:23,2,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:25:33,3,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:25:43,4,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:25:53,5,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:26:03,6,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:26:13,7,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:26:23,8,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:26:33,9,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:26:43,10,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:26:53,11,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:27:03,12,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:27:13,13,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:27:23,14,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:27:33,15,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:27:43,16,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:27:53,17,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:28:03,18,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:28:13,19,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:28:23,20,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:28:33,21,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:28:43,22,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:28:53,23,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:29:03,24,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:29:13,25,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:29:23,26,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:29:33,27,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:29:43,28,-100C,100%,100.0%,4.0Hz,
12/12/2019 13:29:53,29,-100C,100%,100.0%,4.0Hz,
